entity_id,entity_kind,center,year,resection_completeness_pct,total_seconds,eloquent_preservation_score,predicted_kps_day_30,quality_score,cost_usd,safety_score,patient_experience_score,composite_score
HUM-001,manual_human,MGH,2023,92.0,12600,90.0,80.0,89.0,18500,72.0,80.0,71.4
HUM-002,manual_human,MGH,2023,88.0,11400,85.0,75.0,85.0,17800,70.0,75.0,68.6
HUM-003,manual_human,MGH,2024,94.0,13200,88.0,82.0,90.0,19200,74.0,82.0,72.3
HUM-004,manual_human,JHU,2022,89.0,12000,87.0,78.0,86.0,18000,72.0,78.0,69.4
HUM-005,manual_human,JHU,2023,91.0,12300,89.0,80.0,88.0,18600,73.0,80.0,70.7
HUM-006,manual_human,JHU,2024,93.0,11700,90.0,82.0,90.0,18900,75.0,82.0,72.0
HUM-007,manual_human,UCSF,2022,90.0,12900,86.0,79.0,87.0,19100,71.0,79.0,69.6
HUM-008,manual_human,UCSF,2023,87.0,12450,84.0,76.0,84.0,18400,70.0,76.0,67.9
HUM-009,manual_human,UCSF,2024,92.0,12150,88.0,81.0,89.0,19000,73.0,81.0,71.0
HUM-010,manual_human,Karolinska,2023,91.0,11550,90.0,82.0,89.0,18800,75.0,82.0,71.6
HUM-011,manual_human,Karolinska,2024,93.0,12000,91.0,83.0,90.0,19200,76.0,83.0,72.3
HUM-012,manual_human,Karolinska,2024,90.0,11850,88.0,80.0,87.0,18700,73.0,80.0,69.9
HUM-013,manual_human,UCLH,2022,88.0,13500,85.0,77.0,85.0,18200,70.0,77.0,68.3
HUM-014,manual_human,UCLH,2023,92.0,12750,89.0,81.0,89.0,18900,73.0,81.0,71.0
HUM-015,manual_human,UCLH,2024,94.0,12300,91.0,83.0,91.0,19300,76.0,83.0,72.7
HUM-016,manual_human,Charite,2022,87.0,13050,84.0,76.0,83.0,17900,70.0,76.0,67.5
HUM-017,manual_human,Charite,2023,90.0,12600,88.0,79.0,87.0,18500,72.0,79.0,69.7
HUM-018,manual_human,Charite,2024,92.0,12000,89.0,81.0,89.0,18800,74.0,81.0,71.1
HUM-019,manual_human,Sant Pau,2022,86.0,13200,83.0,75.0,82.0,17700,69.0,75.0,66.7
HUM-020,manual_human,Sant Pau,2023,91.0,12450,87.0,79.0,88.0,18400,72.0,79.0,69.9
HUM-021,manual_human,Sant Pau,2024,93.0,11850,90.0,82.0,90.0,19000,75.0,82.0,71.9
HUM-022,manual_human,MGH,2024,95.0,11250,92.0,84.0,92.0,19500,77.0,84.0,73.5
HUM-023,manual_human,JHU,2024,94.0,11700,91.0,83.0,91.0,19200,76.0,83.0,72.7
HUM-024,manual_human,UCSF,2022,88.0,12900,85.0,77.0,85.0,18300,71.0,77.0,68.5
HUM-025,manual_human,Karolinska,2023,92.0,12450,89.0,81.0,89.0,18900,73.0,81.0,71.0
HUM-026,manual_human,UCLH,2023,89.0,12750,86.0,78.0,86.0,18400,71.0,78.0,68.9
HUM-027,manual_human,Charite,2024,93.0,11550,90.0,82.0,90.0,19000,74.0,82.0,71.6
HUM-028,manual_human,Sant Pau,2023,90.0,12600,87.0,79.0,87.0,18500,72.0,79.0,69.7
HUM-029,manual_human,MGH,2022,89.0,12450,86.0,78.0,86.0,18300,71.0,78.0,68.7
HUM-030,manual_human,JHU,2023,91.0,12150,88.0,80.0,88.0,18700,72.0,80.0,70.4
