tick_us,arm_id,record_kind,meta_seed,meta_iteration_id,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j7_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j7_vel,j1_trq,j2_trq,j3_trq,j4_trq,j5_trq,j6_trq,j7_trq,ee_x,ee_y,ee_z,ee_qw,ee_qx,ee_qy,ee_qz,ee_fx,ee_fy,ee_fz,ee_tx,ee_ty,ee_tz,nav_dx,nav_dy,nav_dz,ttip_temp,irr_flow,suc_flow,co2_insuf,us_present,ala_uv,imri_active,estop_state,safety_zone,robot_state,heartbeat_ok,tick_align_flag
0,ARM_1,MIXED,20260510,run_00001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.26,0.26,0.26,0.26,0.26,100.0,-0.1,80.0,1.0,0.0,0.0,0.0,0.0,0.8,-0.0,-0.0,0.051,0.002,0.03,0.02,0.06,36.0,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
0,ARM_2,MIXED,20260510,run_00001,0.12,0.24,0.34,0.42,0.48,0.5,0.49,0.29,0.26,0.22,0.16,0.09,0.02,-0.05,0.33,0.37,0.4,0.39,0.37,0.32,0.25,126.9,49.7,86.3,0.992,0.125,0.0,0.0,0.34,0.5,0.3,0.013,0.049,0.004,0.09,-0.09,0.0,36.0,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
0,ARM_3,MIXED,20260510,run_00001,0.24,0.42,0.5,0.46,0.3,0.07,-0.17,0.26,0.16,0.02,-0.12,-0.24,-0.3,-0.28,0.37,0.4,0.33,0.17,-0.02,-0.21,-0.35,147.8,97.9,92.3,0.969,0.247,0.0,0.0,0.84,0.43,0.82,0.025,0.042,0.006,0.06,0.05,-0.03,36.1,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
0,ARM_4,MIXED,20260510,run_00001,0.34,0.5,0.39,0.07,-0.29,-0.49,-0.43,0.22,0.02,-0.19,-0.29,-0.25,-0.06,0.15,0.4,0.32,0.08,-0.21,-0.39,-0.35,-0.13,163.2,143.2,98.3,0.931,0.366,0.0,0.0,0.7,0.04,0.76,0.035,0.035,0.012,0.05,-0.12,0.02,36.1,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
2500000,ARM_1,MIXED,20260510,run_00001,0.06,0.12,0.18,0.24,0.29,0.34,0.38,0.3,0.29,0.28,0.26,0.24,0.22,0.19,0.29,0.32,0.35,0.37,0.39,0.4,0.4,99.2,12.5,83.1,0.998,0.062,0.0,0.0,0.24,0.78,0.23,0.007,0.05,0.004,0.02,-0.05,0.02,36.0,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
2500000,ARM_2,MIXED,20260510,run_00001,0.18,0.34,0.45,0.5,0.48,0.39,0.25,0.28,0.22,0.13,0.02,-0.09,-0.19,-0.26,0.35,0.4,0.39,0.32,0.21,0.08,-0.07,123.1,61.7,89.4,0.982,0.186,0.0,0.0,0.47,0.4,0.45,0.019,0.046,0.005,0.11,0.06,-0.05,36.1,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
2500000,ARM_3,MIXED,20260510,run_00001,0.29,0.47,0.48,0.3,0.01,-0.29,-0.47,0.24,0.09,-0.09,-0.24,-0.3,-0.25,-0.1,0.39,0.37,0.21,-0.02,-0.25,-0.39,-0.37,141.1,108.5,95.5,0.952,0.307,0.0,0.0,0.95,0.26,0.97,0.029,0.039,0.009,0.03,0.07,-0.0,36.1,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
2500000,ARM_4,MIXED,20260510,run_00001,0.38,0.49,0.24,-0.18,-0.47,-0.43,-0.08,0.19,-0.05,-0.26,-0.28,-0.1,0.15,0.3,0.4,0.26,-0.07,-0.35,-0.38,-0.13,0.21,154.1,151.8,101.2,0.906,0.424,0.0,0.0,0.69,-0.09,0.81,0.038,0.033,0.012,-0.03,0.01,0.08,36.2,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
5000000,ARM_1,MIXED,20260510,run_00001,0.12,0.24,0.34,0.42,0.47,0.5,0.49,0.29,0.26,0.22,0.16,0.09,0.02,-0.05,0.32,0.37,0.4,0.4,0.37,0.32,0.25,97.0,24.7,86.3,0.992,0.125,0.0,0.0,0.48,0.71,0.43,0.012,0.049,0.004,-0.04,0.03,0.17,36.1,0.0,0.0,0.0,0,0,0,0,TUMOR_CORE,ACTIVE,1,1
5000000,ARM_2,MIXED,20260510,run_00001,0.24,0.42,0.5,0.45,0.3,0.07,-0.17,0.26,0.16,0.02,-0.12,-0.24,-0.3,-0.28,0.37,0.4,0.32,0.17,-0.02,-0.21,-0.35,117.7,73.0,92.4,0.969,0.247,0.0,0.0,0.58,0.3,0.57,0.024,0.045,0.009,0.06,0.02,-0.05,36.2,30.0,0.0,0.0,0,0,0,0,TUMOR_MARGIN,ACTIVE,1,1
5000000,ARM_3,MIXED,20260510,run_00001,0.34,0.5,0.39,0.07,-0.29,-0.49,-0.43,0.22,0.02,-0.19,-0.3,-0.25,-0.06,0.15,0.4,0.32,0.08,-0.21,-0.39,-0.35,-0.13,133.2,118.2,98.3,0.931,0.366,0.0,0.0,1.0,0.06,1.09,0.033,0.036,0.01,0.03,-0.06,-0.01,36.1,30.0,25.0,0.0,0,0,0,0,TUMOR_CORE,ACTIVE,1,1
5000000,ARM_4,MIXED,20260510,run_00001,0.42,0.45,0.07,-0.38,-0.48,-0.14,0.33,0.16,-0.13,-0.3,-0.2,0.08,0.29,0.23,0.4,0.17,-0.21,-0.4,-0.22,0.16,0.39,144.1,159.2,104.0,0.878,0.479,0.0,0.0,0.64,-0.23,0.83,0.041,0.028,0.014,0.08,0.03,0.06,36.1,0.0,0.0,0.0,0,1,1,0,TUMOR_MARGIN,ACTIVE,1,1
25000000,ARM_1,MIXED,20260510,run_00001,0.47,0.3,-0.29,-0.48,-0.02,0.47,0.31,0.1,-0.24,-0.25,0.08,0.3,0.1,-0.23,0.37,-0.02,-0.38,-0.22,0.25,0.38,-0.01,31.6,94.8,109.2,0.811,0.585,0.0,0.0,0.6,-0.65,1.14,0.048,0.016,0.018,-0.01,-0.05,-0.07,36.1,0.0,0.0,0.0,0,0,0,0,TUMOR_CORE,ACTIVE,1,1
25000000,ARM_2,MIXED,20260510,run_00001,0.5,0.07,-0.49,-0.14,0.47,0.21,-0.44,0.02,-0.3,-0.06,0.29,0.1,-0.27,-0.14,0.32,-0.21,-0.35,0.16,0.38,-0.11,-0.39,37.1,124.8,114.1,0.732,0.682,0.0,0.0,0.1,-0.55,0.65,0.049,0.002,0.023,-0.01,-0.04,0.03,36.3,30.0,0.0,0.0,0,0,0,0,TUMOR_MARGIN,ACTIVE,1,1
25000000,ARM_3,MIXED,20260510,run_00001,0.49,-0.18,-0.43,0.33,0.31,-0.44,-0.16,-0.05,-0.28,0.15,0.23,-0.23,-0.15,0.28,0.26,-0.35,-0.13,0.39,-0.01,-0.39,0.15,42.1,148.4,118.3,0.641,0.768,0.0,0.0,-0.35,-0.75,0.59,0.049,-0.008,0.025,-0.06,0.08,-0.05,36.3,30.0,25.0,0.0,0,0,0,0,TUMOR_CORE,ACTIVE,1,1
25000000,ARM_4,MIXED,20260510,run_00001,0.45,-0.38,-0.14,0.5,-0.27,-0.27,0.5,-0.13,-0.2,0.29,-0.04,-0.25,0.25,0.04,0.17,-0.4,0.16,0.26,-0.38,0.05,0.34,48.4,165.8,122.1,0.54,0.841,0.0,0.0,-0.53,-0.36,0.12,0.046,-0.02,0.026,-0.0,-0.02,-0.07,36.2,0.0,0.0,0.0,0,1,1,0,TUMOR_MARGIN,ACTIVE,1,1
