tick_us,arm_id,x_mm,y_mm,z_mm,qw,qx,qy,qz,linear_vel_mmps,force_clamp_N,tool,command_state,phase_id,meta_seed,meta_iteration_id
5000000,ARM_4,143.995,159.149,104.027,0.8776,0.4794,0.0,0.0,600.0,1.364,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5100000,ARM_4,143.587,159.328,104.123,0.8764,0.4816,0.0,0.0,600.0,1.358,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5200000,ARM_4,143.229,159.684,104.237,0.8752,0.4838,0.0,0.0,600.0,1.351,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5300000,ARM_4,142.868,159.904,104.296,0.874,0.486,0.0,0.0,600.0,1.345,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5400000,ARM_4,142.291,160.147,104.332,0.8727,0.4882,0.0,0.0,600.0,1.338,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5500000,ARM_4,141.84,160.502,104.574,0.8715,0.4904,0.0,0.0,600.0,1.331,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5600000,ARM_4,141.557,160.761,104.68,0.8703,0.4925,0.0,0.0,600.0,1.324,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5700000,ARM_4,140.982,160.975,104.814,0.8691,0.4947,0.0,0.0,600.0,1.317,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5800000,ARM_4,140.578,161.229,104.823,0.8678,0.4969,0.0,0.0,600.0,1.31,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
5900000,ARM_4,140.239,161.475,104.861,0.8666,0.499,0.0,0.0,600.0,1.302,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6000000,ARM_4,139.787,161.78,105.107,0.8653,0.5012,0.0,0.0,600.0,1.295,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6100000,ARM_4,139.367,161.949,105.221,0.8641,0.5034,0.0,0.0,600.0,1.287,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6200000,ARM_4,138.883,162.24,105.262,0.8628,0.5055,0.0,0.0,600.0,1.279,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6300000,ARM_4,138.363,162.507,105.37,0.8615,0.5077,0.0,0.0,600.0,1.272,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6400000,ARM_4,138.011,162.737,105.511,0.8603,0.5098,0.0,0.0,600.0,1.263,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6500000,ARM_4,137.52,162.935,105.617,0.859,0.512,0.0,0.0,600.0,1.255,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6600000,ARM_4,137.05,163.287,105.738,0.8577,0.5141,0.0,0.0,600.0,1.247,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6700000,ARM_4,136.759,163.424,105.781,0.8564,0.5163,0.0,0.0,600.0,1.239,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6800000,ARM_4,136.285,163.703,105.871,0.8551,0.5184,0.0,0.0,600.0,1.23,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
6900000,ARM_4,135.788,163.924,106.008,0.8538,0.5206,0.0,0.0,600.0,1.222,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7000000,ARM_4,135.304,164.261,106.139,0.8525,0.5227,0.0,0.0,600.0,1.213,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7100000,ARM_4,135.007,164.384,106.245,0.8512,0.5248,0.0,0.0,600.0,1.204,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7200000,ARM_4,134.404,164.567,106.373,0.8499,0.5269,0.0,0.0,600.0,1.195,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7300000,ARM_4,134.085,164.787,106.467,0.8486,0.5291,0.0,0.0,600.0,1.186,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7400000,ARM_4,133.604,164.999,106.51,0.8473,0.5312,0.0,0.0,600.0,1.176,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7500000,ARM_4,133.169,165.158,106.643,0.8459,0.5333,0.0,0.0,600.0,1.167,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7600000,ARM_4,132.711,165.385,106.721,0.8446,0.5354,0.0,0.0,600.0,1.158,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7700000,ARM_4,132.206,165.577,106.889,0.8432,0.5375,0.0,0.0,600.0,1.148,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7800000,ARM_4,131.76,165.905,107.022,0.8419,0.5396,0.0,0.0,600.0,1.138,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
7900000,ARM_4,131.275,166.15,107.021,0.8405,0.5417,0.0,0.0,600.0,1.128,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
8000000,ARM_4,130.823,166.169,107.188,0.8392,0.5438,0.0,0.0,600.0,1.119,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
8100000,ARM_4,130.379,166.507,107.311,0.8378,0.5459,0.0,0.0,600.0,1.109,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
8200000,ARM_4,129.909,166.764,107.445,0.8365,0.548,0.0,0.0,600.0,1.098,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
8300000,ARM_4,129.438,166.831,107.466,0.8351,0.5501,0.0,0.0,600.0,1.088,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
8400000,ARM_4,129.05,167.013,107.597,0.8337,0.5522,0.0,0.0,600.0,1.078,IMG_5ALA_MRI,EMIT,2,20260510,run_00001
