tick_us,arm_id,record_kind,meta_seed,meta_iteration_id,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j7_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j7_vel,j1_trq,j2_trq,j3_trq,j4_trq,j5_trq,j6_trq,j7_trq,ee_x,ee_y,ee_z,ee_qw,ee_qx,ee_qy,ee_qz,ee_fx,ee_fy,ee_fz,ee_tx,ee_ty,ee_tz,nav_dx,nav_dy,nav_dz,ttip_temp,irr_flow,suc_flow,co2_insuf,us_present,ala_uv,imri_active,estop_state,safety_zone,robot_state,heartbeat_ok,tick_align_flag
0,ARM_1,MIXED,20260510,run_00001,-0.0005,0.0,0.0,0.0033,0.0004,0.0014,0.001,0.2999,0.2989,0.3004,0.3005,0.2982,0.3007,0.3,0.2561,0.2584,0.2568,0.2581,0.2593,0.258,0.2573,99.95,-0.05,80.02,1.0,0.0,0.0,0.0,0.003,0.802,-0.005,-0.0005,0.0511,0.0016,0.03,0.023,0.06,36.0,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
0,ARM_2,MIXED,20260510,run_00001,0.1235,0.2385,0.3405,0.4218,0.4745,0.4989,0.4918,0.2898,0.2618,0.2185,0.1615,0.0943,0.021,-0.0523,0.327,0.3728,0.3974,0.3972,0.3702,0.322,0.2542,126.92,49.72,86.24,0.9922,0.1247,0.0,0.0,0.331,0.49,0.31,0.0126,0.0481,0.0024,-0.007,-0.073,0.006,36.01,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
0,ARM_3,MIXED,20260510,run_00001,0.2399,0.4199,0.4985,0.4538,0.3009,0.0677,-0.1752,0.2629,0.1616,0.023,-0.1247,-0.2393,-0.296,-0.2805,0.3727,0.3969,0.3242,0.1725,-0.0215,-0.2115,-0.3477,147.8,97.93,92.24,0.9689,0.2474,0.0,0.0,0.847,0.437,0.812,0.0235,0.044,0.0069,-0.106,-0.005,-0.024,35.97,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
0,ARM_4,MIXED,20260510,run_00001,0.3409,0.4978,0.39,0.0712,-0.2861,-0.4891,-0.43,0.2188,0.0213,-0.1863,-0.2974,-0.2455,-0.0647,0.1535,0.397,0.3227,0.0751,-0.2134,-0.387,-0.3519,-0.1318,163.12,143.2,98.26,0.9305,0.3663,0.0,0.0,0.696,0.044,0.756,0.0332,0.0347,0.01,0.074,0.048,-0.027,36.07,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
1000,ARM_1,MIXED,20260510,run_00001,-0.0009,-0.0016,0.0007,0.0002,0.001,0.0008,-0.0003,0.3002,0.2996,0.3031,0.2991,0.3016,0.3012,0.3008,0.2583,0.2568,0.2575,0.2581,0.2578,0.2558,0.257,100.07,-0.03,79.91,1.0,0.0,0.0,0.0,-0.003,0.798,0.008,-0.0003,0.0494,-0.0001,0.02,-0.026,-0.069,35.94,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
1000,ARM_2,MIXED,20260510,run_00001,0.1227,0.2399,0.3401,0.4204,0.474,0.4983,0.4932,0.2918,0.2611,0.2171,0.1623,0.0954,0.023,-0.0539,0.3256,0.3739,0.3982,0.3963,0.372,0.3236,0.2555,126.94,49.8,86.24,0.9922,0.1247,0.0,0.0,0.34,0.492,0.31,0.0133,0.0487,0.0022,0.038,0.044,0.023,36.01,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
1000,ARM_3,MIXED,20260510,run_00001,0.2401,0.4214,0.4994,0.4547,0.3,0.0718,-0.1763,0.2634,0.1616,0.0215,-0.1245,-0.2403,-0.2965,-0.2824,0.3732,0.395,0.3243,0.17,-0.0241,-0.212,-0.35,147.76,97.94,92.36,0.9689,0.2474,0.0,0.0,0.838,0.431,0.815,0.0234,0.0433,0.0084,0.012,0.014,-0.091,36.1,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
1000,ARM_4,MIXED,20260510,run_00001,0.3418,0.5,0.3889,0.0709,-0.2852,-0.4885,-0.4308,0.2187,0.0203,-0.1894,-0.2974,-0.2466,-0.0632,0.1545,0.3964,0.3215,0.0759,-0.2115,-0.386,-0.3535,-0.13,163.05,143.17,98.25,0.9305,0.3663,0.0,0.0,0.699,0.037,0.758,0.0343,0.0365,0.013,0.031,-0.016,0.045,36.1,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
2000,ARM_1,MIXED,20260510,run_00001,0.0003,-0.002,0.0004,0.0022,0.0012,0.0003,0.0006,0.2976,0.3018,0.3008,0.3002,0.2981,0.3001,0.3017,0.2575,0.2566,0.2592,0.2579,0.2584,0.2571,0.2578,100.01,0.03,80.05,1.0,0.0,0.0,0.0,0.008,0.799,-0.001,-0.0002,0.0482,0.0002,0.036,-0.018,-0.066,35.91,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
2000,ARM_2,MIXED,20260510,run_00001,0.1228,0.2387,0.3414,0.4205,0.4768,0.4995,0.4927,0.2919,0.2635,0.2192,0.1615,0.0929,0.0225,-0.0525,0.3262,0.3715,0.3986,0.3966,0.3703,0.324,0.2551,126.87,49.75,86.18,0.9922,0.1247,0.0,0.0,0.335,0.482,0.309,0.0123,0.0503,0.0048,0.002,0.082,-0.06,36.13,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
2000,ARM_3,MIXED,20260510,run_00001,0.2399,0.4198,0.498,0.454,0.3001,0.0698,-0.1743,0.2624,0.1631,0.0222,-0.1237,-0.2403,-0.2968,-0.2803,0.3724,0.3984,0.3227,0.1709,-0.0233,-0.2107,-0.3491,147.84,97.93,92.45,0.9689,0.2475,0.0,0.0,0.84,0.431,0.822,0.0231,0.0451,0.0076,-0.074,-0.081,0.03,36.18,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
2000,ARM_4,MIXED,20260510,run_00001,0.3397,0.4986,0.3879,0.0701,-0.285,-0.4886,-0.4275,0.2204,0.0188,-0.1894,-0.2979,-0.2443,-0.063,0.1547,0.3966,0.322,0.0754,-0.2114,-0.3878,-0.3529,-0.131,163.2,143.23,98.34,0.9305,0.3663,0.0,0.0,0.692,0.035,0.761,0.0324,0.0361,0.0108,-0.037,-0.02,0.039,36.1,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
3000,ARM_1,MIXED,20260510,run_00001,0.0002,0.0002,0.0014,0.0007,0.0007,0.0004,0.0007,0.3001,0.3001,0.3009,0.2991,0.3002,0.3005,0.3005,0.2584,0.2581,0.2584,0.2571,0.2593,0.2583,0.258,99.98,-0.0,79.96,1.0,0.0001,0.0,0.0,0.008,0.791,0.01,0.0004,0.0502,0.0011,0.012,0.009,-0.034,35.92,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
3000,ARM_2,MIXED,20260510,run_00001,0.1242,0.2398,0.3402,0.4199,0.4759,0.4982,0.4914,0.2914,0.264,0.2199,0.1626,0.0955,0.0225,-0.0545,0.3261,0.373,0.3967,0.3959,0.3699,0.3224,0.255,126.96,49.77,86.22,0.9922,0.1247,0.0,0.0,0.341,0.491,0.311,0.0106,0.0487,0.004,-0.078,0.056,-0.068,35.97,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
3000,ARM_3,MIXED,20260510,run_00001,0.24,0.4205,0.4998,0.4547,0.2985,0.073,-0.1749,0.2645,0.1615,0.0201,-0.1269,-0.2409,-0.298,-0.2799,0.3732,0.3955,0.325,0.1711,-0.0243,-0.2104,-0.348,147.73,98.04,92.39,0.9689,0.2475,0.0,0.0,0.841,0.443,0.818,0.0257,0.0425,0.0063,0.018,-0.019,0.023,36.09,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
3000,ARM_4,MIXED,20260510,run_00001,0.341,0.5001,0.3884,0.0693,-0.2867,-0.4895,-0.4283,0.2206,0.0207,-0.1887,-0.2971,-0.2452,-0.0639,0.1544,0.3961,0.3219,0.0762,-0.211,-0.3864,-0.3532,-0.1305,163.19,143.19,98.29,0.9305,0.3663,0.0,0.0,0.702,0.046,0.749,0.0335,0.0362,0.0106,-0.001,-0.035,0.001,36.14,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
4000,ARM_1,MIXED,20260510,run_00001,0.0011,-0.0006,-0.0015,0.0009,-0.0002,0.0021,0.002,0.2979,0.2991,0.2995,0.2998,0.2993,0.3002,0.3007,0.2563,0.2583,0.2585,0.2585,0.259,0.2582,0.2582,100.08,-0.03,80.0,1.0,0.0001,0.0,0.0,-0.002,0.797,0.001,-0.0002,0.0495,-0.0005,-0.054,0.027,0.047,35.97,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
4000,ARM_2,MIXED,20260510,run_00001,0.1249,0.2399,0.3426,0.4204,0.476,0.5002,0.4928,0.2915,0.2628,0.2196,0.1627,0.0941,0.0191,-0.0532,0.3243,0.3718,0.3965,0.3964,0.3718,0.3228,0.2546,126.86,49.7,86.19,0.9922,0.1248,0.0,0.0,0.334,0.5,0.31,0.0115,0.0488,0.0052,0.027,0.053,0.072,36.06,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
4000,ARM_3,MIXED,20260510,run_00001,0.2419,0.4212,0.497,0.4517,0.2994,0.069,-0.1767,0.2631,0.1625,0.0205,-0.1267,-0.2412,-0.2961,-0.2819,0.374,0.3977,0.321,0.1684,-0.0222,-0.212,-0.3486,147.75,98.04,92.43,0.9689,0.2475,0.0,0.0,0.841,0.436,0.821,0.0246,0.0446,0.0081,-0.017,-0.111,0.05,36.15,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
4000,ARM_4,MIXED,20260510,run_00001,0.3416,0.4981,0.3898,0.0698,-0.2866,-0.4878,-0.4281,0.2192,0.0207,-0.1902,-0.2973,-0.2458,-0.063,0.1545,0.3968,0.3244,0.0758,-0.2128,-0.3882,-0.3531,-0.1304,163.11,143.12,98.26,0.9305,0.3664,0.0,0.0,0.692,0.04,0.762,0.0358,0.0354,0.0116,0.061,-0.067,-0.053,36.18,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
5000,ARM_1,MIXED,20260510,run_00001,-0.0005,-0.0001,0.0003,0.0002,0.0009,0.0001,0.0001,0.2995,0.3008,0.2997,0.3003,0.2996,0.3016,0.2993,0.2571,0.2563,0.2579,0.2575,0.2577,0.259,0.2594,99.92,0.1,80.01,1.0,0.0001,0.0,0.0,-0.006,0.802,-0.001,0.0015,0.0503,0.0003,0.032,-0.045,0.061,35.99,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
5000,ARM_2,MIXED,20260510,run_00001,0.1223,0.2408,0.3416,0.4208,0.4761,0.4992,0.491,0.2917,0.2636,0.2202,0.1628,0.0935,0.0213,-0.0533,0.326,0.3724,0.3967,0.3977,0.3708,0.3234,0.2541,126.96,49.77,86.24,0.9922,0.1248,0.0,0.0,0.336,0.482,0.303,0.0113,0.0481,0.0034,0.088,-0.017,-0.063,36.08,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
