tick_us,arm_id,x_mm,y_mm,z_mm,qw,qx,qy,qz,linear_vel_mmps,force_clamp_N,tool,command_state,phase_id,meta_seed,meta_iteration_id
5000000,ARM_2,117.777,72.936,92.417,0.9689,0.2474,0.0,0.0,600.0,1.262,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5100000,ARM_2,117.532,73.425,92.557,0.9683,0.2498,0.0,0.0,600.0,1.27,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5200000,ARM_2,117.281,73.778,92.658,0.9677,0.2522,0.0,0.0,600.0,1.278,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5300000,ARM_2,117.051,74.26,92.792,0.967,0.2547,0.0,0.0,600.0,1.286,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5400000,ARM_2,116.766,74.602,92.921,0.9664,0.2571,0.0,0.0,600.0,1.294,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5500000,ARM_2,116.493,75.201,93.024,0.9657,0.2595,0.0,0.0,600.0,1.301,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5600000,ARM_2,116.301,75.574,93.145,0.9651,0.2619,0.0,0.0,600.0,1.309,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5700000,ARM_2,116.022,76.008,93.213,0.9644,0.2643,0.0,0.0,600.0,1.316,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5800000,ARM_2,115.876,76.361,93.288,0.9638,0.2667,0.0,0.0,600.0,1.323,BIPOLAR_IRR,EMIT,2,20260510,run_00001
5900000,ARM_2,115.501,76.939,93.453,0.9631,0.2691,0.0,0.0,600.0,1.33,BIPOLAR_IRR,EMIT,2,20260510,run_00001
6000000,ARM_2,115.252,77.293,93.592,0.9624,0.2715,0.0,0.0,600.0,1.337,BIPOLAR_IRR,EMIT,2,20260510,run_00001
6100000,ARM_2,115.039,77.661,93.709,0.9617,0.274,0.0,0.0,600.0,1.344,BIPOLAR_IRR,EMIT,2,20260510,run_00001
6200000,ARM_2,114.699,78.018,93.818,0.9611,0.2764,0.0,0.0,600.0,1.35,BIPOLAR_IRR,EMIT,2,20260510,run_00001
