iteration_id,arm_id,phase,start_s,end_s,duration_s,mean_tip_force_n,max_tip_force_n,force_time_integral_ns,safety_zone_violations,collision_state_violations,ring_tension_stability
0,1,1,0.000,6.000,6.0,0.520,0.840,2.880,0,0,0.000
0,1,2,6.000,16.000,10.0,0.530,0.870,4.350,0,0,0.000
0,1,3,16.000,24.000,8.0,0.535,0.880,3.600,0,0,0.000
0,1,4,24.000,32.000,8.0,0.520,0.860,3.450,0,0,0.000
0,1,5,32.000,42.000,10.0,0.515,0.840,4.300,0,0,0.0050
0,1,6,42.000,48.000,6.0,0.510,0.830,2.550,0,0,0.0050
0,1,7,48.000,54.000,6.0,0.515,0.840,2.580,0,0,0.0050
0,1,8,54.000,60.000,6.0,0.500,0.820,2.420,0,0,0.000
0,2,1,0.000,6.000,6.0,0.520,0.850,2.890,0,0,0.000
0,2,2,6.000,16.000,10.0,0.535,0.870,4.360,0,0,0.000
0,2,3,16.000,24.000,8.0,0.530,0.870,3.580,0,0,0.000
0,2,4,24.000,32.000,8.0,0.520,0.870,3.470,0,0,0.000
0,2,5,32.000,42.000,10.0,0.510,0.830,4.280,0,0,0.0050
0,2,6,42.000,48.000,6.0,0.515,0.840,2.560,0,0,0.0050
0,2,7,48.000,54.000,6.0,0.515,0.840,2.580,0,0,0.0050
0,2,8,54.000,60.000,6.0,0.500,0.820,2.420,0,0,0.000
0,3,1,0.000,6.000,6.0,0.420,0.640,2.380,0,0,0.000
0,3,2,6.000,16.000,10.0,0.430,0.670,3.850,0,0,0.000
0,3,3,16.000,24.000,8.0,0.425,0.650,3.100,0,0,0.000
0,3,4,24.000,32.000,8.0,0.420,0.640,3.000,0,0,0.000
0,3,5,32.000,42.000,10.0,0.415,0.630,3.800,0,0,0.000
0,3,6,42.000,48.000,6.0,0.420,0.640,2.250,0,0,0.000
0,3,7,48.000,54.000,6.0,0.415,0.630,2.230,0,0,0.000
0,3,8,54.000,60.000,6.0,0.410,0.620,2.130,0,0,0.000
0,4,1,0.000,6.000,6.0,0.220,0.340,1.180,0,0,0.000
0,4,2,6.000,16.000,10.0,0.230,0.370,2.150,0,0,0.000
0,4,3,16.000,24.000,8.0,0.225,0.350,1.700,0,0,0.000
0,4,4,24.000,32.000,8.0,0.220,0.340,1.650,0,0,0.000
0,4,5,32.000,42.000,10.0,0.215,0.330,1.900,0,0,0.000
0,4,6,42.000,48.000,6.0,0.220,0.340,1.150,0,0,0.000
0,4,7,48.000,54.000,6.0,0.215,0.330,1.120,0,0,0.000
0,4,8,54.000,60.000,6.0,0.210,0.320,1.050,0,0,0.000
0,5,5,32.000,42.000,10.0,0.310,0.430,2.880,0,0,0.0050
0,5,6,42.000,48.000,6.0,0.305,0.420,1.700,0,0,0.0050
0,6,2,6.000,16.000,10.0,0.300,0.420,2.800,0,0,0.000
0,6,4,24.000,32.000,8.0,0.295,0.410,2.220,0,0,0.000
0,7,2,6.000,16.000,10.0,0.250,0.370,2.350,0,0,0.000
0,7,4,24.000,32.000,8.0,0.245,0.360,1.870,0,0,0.000
0,8,2,6.000,16.000,10.0,0.200,0.310,1.850,0,0,0.000
0,8,4,24.000,32.000,8.0,0.195,0.300,1.470,0,0,0.000
