iteration_id,seed,entrant_a,entrant_b,entrant_a_composite,entrant_b_composite,winner,confidence,structural_caveat
0,20260513,PancreSpeed_1_0,Dutch_human_baseline,93.55,56.05,PancreSpeed_1_0,0.999,true
1,20260514,PancreSpeed_1_0,Dutch_human_baseline,93.42,56.05,PancreSpeed_1_0,0.999,true
2,20260515,PancreSpeed_1_0,Dutch_human_baseline,93.61,56.05,PancreSpeed_1_0,0.999,true
3,20260516,PancreSpeed_1_0,Dutch_human_baseline,93.38,56.05,PancreSpeed_1_0,0.999,true
4,20260517,PancreSpeed_1_0,Dutch_human_baseline,85.92,56.05,PancreSpeed_1_0,0.997,true
5,20260518,PancreSpeed_1_0,Dutch_human_baseline,93.47,56.05,PancreSpeed_1_0,0.999,true
6,20260519,PancreSpeed_1_0,Dutch_human_baseline,93.56,56.05,PancreSpeed_1_0,0.999,true
7,20260520,PancreSpeed_1_0,Dutch_human_baseline,93.40,56.05,PancreSpeed_1_0,0.999,true
8,20260521,PancreSpeed_1_0,Dutch_human_baseline,93.58,56.05,PancreSpeed_1_0,0.999,true
9,20260522,PancreSpeed_1_0,Dutch_human_baseline,93.62,56.05,PancreSpeed_1_0,0.999,true
10,20260523,PancreSpeed_1_0,Dutch_human_baseline,93.51,56.05,PancreSpeed_1_0,0.999,true
11,20260524,PancreSpeed_1_0,Dutch_human_baseline,85.84,56.05,PancreSpeed_1_0,0.997,true
12,20260525,PancreSpeed_1_0,Dutch_human_baseline,93.49,56.05,PancreSpeed_1_0,0.999,true
13,20260526,PancreSpeed_1_0,Dutch_human_baseline,93.45,56.05,PancreSpeed_1_0,0.999,true
14,20260527,PancreSpeed_1_0,Dutch_human_baseline,93.59,56.05,PancreSpeed_1_0,0.999,true
15,20260528,PancreSpeed_1_0,Dutch_human_baseline,85.91,56.05,PancreSpeed_1_0,0.997,true
16,20260529,PancreSpeed_1_0,Dutch_human_baseline,93.55,56.05,PancreSpeed_1_0,0.999,true
17,20260530,PancreSpeed_1_0,Dutch_human_baseline,93.44,56.05,PancreSpeed_1_0,0.999,true
18,20260531,PancreSpeed_1_0,Dutch_human_baseline,93.60,56.05,PancreSpeed_1_0,0.999,true
19,20260532,PancreSpeed_1_0,Dutch_human_baseline,85.89,56.05,PancreSpeed_1_0,0.997,true
20,20260533,PancreSpeed_1_0,Dutch_human_baseline,93.52,56.05,PancreSpeed_1_0,0.999,true
21,20260534,PancreSpeed_1_0,Dutch_human_baseline,93.41,56.05,PancreSpeed_1_0,0.999,true
22,20260535,PancreSpeed_1_0,Dutch_human_baseline,93.57,56.05,PancreSpeed_1_0,0.999,true
23,20260536,PancreSpeed_1_0,Dutch_human_baseline,93.48,56.05,PancreSpeed_1_0,0.999,true
24,20260537,PancreSpeed_1_0,Dutch_human_baseline,93.63,56.05,PancreSpeed_1_0,0.999,true
25,20260538,PancreSpeed_1_0,Dutch_human_baseline,93.46,56.05,PancreSpeed_1_0,0.999,true
26,20260539,PancreSpeed_1_0,Dutch_human_baseline,93.50,56.05,PancreSpeed_1_0,0.999,true
27,20260540,PancreSpeed_1_0,Dutch_human_baseline,85.86,56.05,PancreSpeed_1_0,0.997,true
28,20260541,PancreSpeed_1_0,Dutch_human_baseline,93.54,56.05,PancreSpeed_1_0,0.999,true
29,20260542,PancreSpeed_1_0,Dutch_human_baseline,93.43,56.05,PancreSpeed_1_0,0.999,true
30,20260543,PancreSpeed_1_0,Dutch_human_baseline,93.61,56.05,PancreSpeed_1_0,0.999,true
31,20260544,PancreSpeed_1_0,Dutch_human_baseline,93.55,56.05,PancreSpeed_1_0,0.999,true
