arm_id,channel_name,min,max,mean,std,p95
1,q1,-0.030,0.030,0.000,0.012,0.025
1,q2,-0.030,0.030,0.000,0.012,0.025
1,q3,-0.030,0.030,0.000,0.012,0.025
1,q4,-0.030,0.030,0.000,0.012,0.025
1,q5,-0.030,0.030,0.000,0.012,0.025
1,q6,-0.030,0.030,0.000,0.012,0.025
1,q7,-0.030,0.030,0.000,0.012,0.025
1,ee_force_x,-0.500,0.700,0.500,0.050,0.580
1,ee_force_y,-0.350,0.450,0.300,0.040,0.360
1,ee_force_z,-0.220,0.220,0.200,0.020,0.220
1,vessel_proximity,6.000,10.000,8.000,1.200,9.800
1,ring_tension,0.400,0.500,0.450,0.020,0.480
1,duct_manometry,10.000,14.000,12.000,0.500,12.800
1,tip_force_scalar,0.500,0.700,0.616,0.040,0.680
1,cumulative_cross_arm_force,3.500,5.500,4.928,0.300,5.300
1,force_time_integral,0.000,8.000,2.500,1.500,5.500
1,temperature,36.800,37.500,37.100,0.100,37.300
1,power,45.000,60.000,52.000,2.500,57.000
1,heartbeat_watchdog,30,80,55,8,75
2,q1,-0.030,0.030,0.000,0.012,0.025
2,ee_force_x,-0.500,0.700,0.500,0.050,0.580
2,bipolar_current,40.000,60.000,52.000,3.500,58.500
2,bipolar_voltage,35.000,45.000,41.000,1.500,44.000
2,tip_force_scalar,0.500,0.700,0.616,0.040,0.680
2,ring_tension,0.400,0.500,0.450,0.020,0.480
2,temperature,36.800,37.500,37.100,0.100,37.300
3,q1,-0.030,0.030,0.000,0.012,0.025
3,ee_force_x,-0.300,0.500,0.300,0.040,0.380
3,tip_force_scalar,0.300,0.500,0.400,0.030,0.460
3,temperature,36.800,37.500,37.100,0.100,37.300
4,q1,-0.030,0.030,0.000,0.012,0.025
4,nir_icg_0,800.000,1300.000,1025.000,80.000,1200.000
4,nir_icg_1,800.000,1300.000,1030.000,80.000,1200.000
4,nir_icg_2,800.000,1300.000,1028.000,80.000,1200.000
4,nir_icg_3,800.000,1300.000,1022.000,80.000,1200.000
4,us_0,25.000,40.000,32.000,2.500,37.000
4,us_1,25.000,40.000,32.500,2.500,37.000
4,us_2,25.000,40.000,33.000,2.500,37.000
4,us_3,25.000,40.000,33.500,2.500,37.000
4,us_4,25.000,40.000,34.000,2.500,37.000
4,us_5,25.000,40.000,34.500,2.500,37.000
4,us_6,25.000,40.000,35.000,2.500,37.000
4,us_7,25.000,40.000,35.500,2.500,37.000
4,bile_410,90.000,120.000,102.000,3.500,110.000
4,bile_470,90.000,120.000,103.000,3.500,110.000
4,bile_532,90.000,120.000,102.000,3.500,110.000
4,bile_600,90.000,120.000,104.000,3.500,110.000
5,ring_tension,0.400,0.500,0.450,0.020,0.480
5,tip_force_scalar,0.200,0.400,0.300,0.030,0.360
5,bipolar_current,40.000,60.000,50.000,3.500,57.000
6,suction_pressure,15.000,25.000,20.000,1.500,23.000
6,tip_force_scalar,0.200,0.400,0.300,0.030,0.360
7,suction_flow,3.000,7.000,5.000,0.500,6.000
7,irrigation_flow,1.000,3.000,2.000,0.200,2.500
7,suction_pressure,15.000,25.000,20.000,1.500,23.000
8,nir_icg_0,800.000,1300.000,1025.000,80.000,1200.000
8,tip_force_scalar,0.100,0.300,0.200,0.020,0.250
