iteration_id,seed,ring_tension_target_n,ring_tension_rmse_n,realized_patency
0,20260513,0.6,0.002900,patent
1,20260514,0.6,0.002900,patent
2,20260515,0.6,0.002900,patent
3,20260516,0.6,0.002900,patent
4,20260517,0.6,0.002900,patent
5,20260518,0.6,0.002900,patent
6,20260519,0.6,0.002900,patent
7,20260520,0.6,0.002900,patent
8,20260521,0.6,0.002900,patent
9,20260522,0.6,0.002900,patent
10,20260523,0.6,0.002900,patent
11,20260524,0.6,0.002900,patent
12,20260525,0.6,0.002900,patent
13,20260526,0.6,0.002900,patent
14,20260527,0.6,0.002900,patent
15,20260528,0.6,0.002900,patent
16,20260529,0.6,0.002900,patent
17,20260530,0.6,0.002900,patent
18,20260531,0.6,0.002900,patent
19,20260532,0.6,0.002900,patent
20,20260533,0.6,0.002900,patent
21,20260534,0.6,0.002900,patent
22,20260535,0.6,0.002900,patent
23,20260536,0.6,0.002900,patent
24,20260537,0.6,0.002900,patent
25,20260538,0.6,0.002900,patent
26,20260539,0.6,0.002900,patent
27,20260540,0.6,0.002900,patent
28,20260541,0.6,0.002900,patent
29,20260542,0.6,0.002900,patent
30,20260543,0.6,0.002900,patent
31,20260544,0.6,0.002900,patent
