iteration_id,seed,ring_tension_target_n,ring_tension_rmse_n,manometry_target_mmHg,manometry_rmse_mmHg,bile_spectrophotometry_max_410_nm,realized_leak
0,20260513,0.5,0.002900,8.0,0.115500,6.394,present
1,20260514,0.5,0.002900,8.0,0.115500,5.231,absent
2,20260515,0.5,0.002900,8.0,0.115300,6.008,present
3,20260516,0.5,0.002900,8.0,0.115600,6.705,present
4,20260517,0.5,0.002900,8.0,0.115400,5.437,present
5,20260518,0.5,0.002900,8.0,0.115300,5.513,absent
6,20260519,0.5,0.002900,8.0,0.115800,5.909,absent
7,20260520,0.5,0.002900,8.0,0.115200,6.689,present
8,20260521,0.5,0.002900,8.0,0.115500,5.124,present
9,20260522,0.5,0.002900,8.0,0.115200,6.035,present
10,20260523,0.5,0.002900,8.0,0.115500,6.933,present
11,20260524,0.5,0.002900,8.0,0.115400,6.466,present
12,20260525,0.5,0.002900,8.0,0.115500,5.596,absent
13,20260526,0.5,0.002900,8.0,0.115000,7.0,present
14,20260527,0.5,0.002900,8.0,0.115300,5.07,absent
15,20260528,0.5,0.002900,8.0,0.115400,5.243,absent
16,20260529,0.5,0.002900,8.0,0.115600,6.411,present
17,20260530,0.5,0.002900,8.0,0.115400,6.479,present
18,20260531,0.5,0.002900,8.0,0.115900,5.98,absent
19,20260532,0.5,0.002900,8.0,0.115800,6.837,present
20,20260533,0.5,0.002900,8.0,0.115600,6.041,present
21,20260534,0.5,0.002900,8.0,0.115300,5.874,absent
22,20260535,0.5,0.002900,8.0,0.115500,5.707,absent
23,20260536,0.5,0.002900,8.0,0.115400,6.317,present
24,20260537,0.5,0.002900,8.0,0.115500,5.195,absent
25,20260538,0.5,0.002900,8.0,0.115700,5.433,absent
26,20260539,0.5,0.002900,8.0,0.116100,5.86,absent
27,20260540,0.5,0.002900,8.0,0.115600,5.33,absent
28,20260541,0.5,0.002900,8.0,0.115100,6.29,present
29,20260542,0.5,0.002900,8.0,0.115600,6.015,present
30,20260543,0.5,0.002900,8.0,0.115500,5.017,absent
31,20260544,0.5,0.002900,8.0,0.115800,6.72,present
