iteration_id,seed,ring_tension_target_n,ring_tension_rmse_n,manometry_target_mmHg,manometry_rmse_mmHg,ring_violation_count,manometry_violation_count,realized_grade
0,20260513,0.45,0.002900,12.0,0.115300,0,0,A
1,20260514,0.45,0.002900,12.0,0.115600,0,0,A
2,20260515,0.45,0.002900,12.0,0.115400,0,0,A
3,20260516,0.45,0.002900,12.0,0.115300,0,0,A
4,20260517,0.45,0.002900,12.0,0.115600,0,0,A
5,20260518,0.45,0.002900,12.0,0.115500,0,0,A
6,20260519,0.45,0.002900,12.0,0.115500,0,0,A
7,20260520,0.45,0.002900,12.0,0.115700,0,0,A
8,20260521,0.45,0.002900,12.0,0.115400,0,0,A
9,20260522,0.45,0.002900,12.0,0.115500,0,0,A
10,20260523,0.45,0.002900,12.0,0.115100,0,0,A
11,20260524,0.45,0.002900,12.0,0.115500,0,0,A
12,20260525,0.45,0.002900,12.0,0.115400,0,0,A
13,20260526,0.45,0.002900,12.0,0.115400,0,0,A
14,20260527,0.45,0.002900,12.0,0.115400,0,0,A
15,20260528,0.45,0.002900,12.0,0.115400,0,0,A
16,20260529,0.45,0.002900,12.0,0.115300,0,0,A
17,20260530,0.45,0.002900,12.0,0.115400,0,0,B
18,20260531,0.45,0.002900,12.0,0.115500,0,0,A
19,20260532,0.45,0.002900,12.0,0.115700,0,0,A
20,20260533,0.45,0.002900,12.0,0.115700,0,0,A
21,20260534,0.45,0.002900,12.0,0.115600,0,0,A
22,20260535,0.45,0.002900,12.0,0.115600,0,0,A
23,20260536,0.45,0.002900,12.0,0.115400,0,0,A
24,20260537,0.45,0.002900,12.0,0.115600,0,0,A
25,20260538,0.45,0.002900,12.0,0.115400,0,0,A
26,20260539,0.45,0.002900,12.0,0.115800,0,0,A
27,20260540,0.45,0.002900,12.0,0.115800,0,0,A
28,20260541,0.45,0.002900,12.0,0.115600,0,0,A
29,20260542,0.45,0.002900,12.0,0.115400,0,0,A
30,20260543,0.45,0.002900,12.0,0.115600,0,0,A
31,20260544,0.45,0.002900,12.0,0.115500,0,0,A
