iteration_id,seed,round,entrant_a,entrant_b,entrant_a_composite,entrant_b_composite,winner,confidence
0,20260513,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.044,84.674,PancreSpeed_1_0,0.779
0,20260513,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.684,81.668,PancreSpeed_1_0,0.901
0,20260513,3,PancreSpeed_1_0,Dutch_human_baseline,94.408,67.275,PancreSpeed_1_0,0.99
0,20260513,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.22,80.536,da_Vinci_Whipple_2030,0.623
1,20260514,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.056,83.261,PancreSpeed_1_0,0.826
1,20260514,2,PancreSpeed_1_0,Hugo_PDAC_2030,92.803,80.337,PancreSpeed_1_0,0.916
1,20260514,3,PancreSpeed_1_0,Dutch_human_baseline,94.348,68.015,PancreSpeed_1_0,0.99
1,20260514,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.553,80.703,da_Vinci_Whipple_2030,0.595
2,20260515,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.769,83.845,PancreSpeed_1_0,0.831
2,20260515,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.455,80.644,PancreSpeed_1_0,0.96
2,20260515,3,PancreSpeed_1_0,Dutch_human_baseline,94.277,68.629,PancreSpeed_1_0,0.99
2,20260515,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,82.988,81.6,da_Vinci_Whipple_2030,0.546
3,20260516,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.549,84.338,PancreSpeed_1_0,0.807
3,20260516,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.624,80.758,PancreSpeed_1_0,0.962
3,20260516,3,PancreSpeed_1_0,Dutch_human_baseline,94.646,68.875,PancreSpeed_1_0,0.99
3,20260516,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.203,80.805,da_Vinci_Whipple_2030,0.58
4,20260517,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.137,83.801,PancreSpeed_1_0,0.811
4,20260517,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.107,80.602,PancreSpeed_1_0,0.917
4,20260517,3,PancreSpeed_1_0,Dutch_human_baseline,94.559,67.036,PancreSpeed_1_0,0.99
4,20260517,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,82.956,81.444,da_Vinci_Whipple_2030,0.55
5,20260518,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.708,83.441,PancreSpeed_1_0,0.876
