iteration_id,seed,pancrespeed_composite,dutch_baseline_composite,winner,confidence,delta
0,20260513,94.408,67.275,PancreSpeed_1_0,0.99,27.133
1,20260514,94.348,68.015,PancreSpeed_1_0,0.99,26.333
2,20260515,94.277,68.629,PancreSpeed_1_0,0.99,25.648
3,20260516,94.646,68.875,PancreSpeed_1_0,0.99,25.771
4,20260517,94.559,67.036,PancreSpeed_1_0,0.99,27.523
5,20260518,94.745,68.112,PancreSpeed_1_0,0.99,26.633
6,20260519,94.231,68.653,PancreSpeed_1_0,0.99,25.578
7,20260520,94.054,66.912,PancreSpeed_1_0,0.99,27.142
8,20260521,93.849,67.916,PancreSpeed_1_0,0.99,25.933
9,20260522,93.868,68.405,PancreSpeed_1_0,0.99,25.463
10,20260523,93.633,67.034,PancreSpeed_1_0,0.99,26.599
11,20260524,93.054,67.974,PancreSpeed_1_0,0.99,25.080
12,20260525,94.185,68.089,PancreSpeed_1_0,0.99,26.096
13,20260526,93.683,68.27,PancreSpeed_1_0,0.99,25.413
14,20260527,93.452,67.615,PancreSpeed_1_0,0.99,25.837
15,20260528,93.388,67.584,PancreSpeed_1_0,0.99,25.804
16,20260529,94.035,68.38,PancreSpeed_1_0,0.99,25.655
17,20260530,93.94,67.699,PancreSpeed_1_0,0.99,26.241
18,20260531,93.931,68.512,PancreSpeed_1_0,0.99,25.419
19,20260532,94.547,67.182,PancreSpeed_1_0,0.99,27.365
20,20260533,93.194,68.884,PancreSpeed_1_0,0.99,24.310
21,20260534,93.15,68.275,PancreSpeed_1_0,0.99,24.875
22,20260535,93.414,67.938,PancreSpeed_1_0,0.99,25.476
23,20260536,94.399,68.297,PancreSpeed_1_0,0.99,26.102
24,20260537,92.861,67.569,PancreSpeed_1_0,0.99,25.292
25,20260538,94.244,67.208,PancreSpeed_1_0,0.99,27.036
26,20260539,94.08,68.66,PancreSpeed_1_0,0.99,25.420
27,20260540,92.896,68.148,PancreSpeed_1_0,0.99,24.748
28,20260541,93.012,68.267,PancreSpeed_1_0,0.99,24.745
29,20260542,93.191,67.066,PancreSpeed_1_0,0.99,26.125
30,20260543,94.464,66.96,PancreSpeed_1_0,0.99,27.504
31,20260544,93.687,67.193,PancreSpeed_1_0,0.99,26.494
