iteration_id,seed,induction_dose_mg,induction_serum_ng_per_ml,t_minus_72h_pause_applied,t_zero_serum_ng_per_ml,t_plus_60s_serum_ng_per_ml
0,20260513,300.0,35.0,True,8.75,8.747
1,20260514,300.0,35.0,True,8.75,8.747
2,20260515,300.0,35.0,True,8.75,8.747
3,20260516,300.0,35.0,True,8.75,8.747
4,20260517,300.0,35.0,True,8.75,8.747
5,20260518,300.0,35.0,True,8.75,8.747
6,20260519,300.0,35.0,True,8.75,8.747
7,20260520,300.0,35.0,True,8.75,8.747
8,20260521,300.0,35.0,True,8.75,8.747
9,20260522,300.0,35.0,True,8.75,8.747
10,20260523,300.0,35.0,True,8.75,8.747
11,20260524,300.0,35.0,True,8.75,8.747
12,20260525,300.0,35.0,True,8.75,8.747
13,20260526,300.0,35.0,True,8.75,8.747
14,20260527,300.0,35.0,True,8.75,8.747
15,20260528,300.0,35.0,True,8.75,8.747
16,20260529,300.0,35.0,True,8.75,8.747
17,20260530,300.0,35.0,True,8.75,8.747
18,20260531,300.0,35.0,True,8.75,8.747
19,20260532,300.0,35.0,True,8.75,8.747
20,20260533,300.0,35.0,True,8.75,8.747
21,20260534,300.0,35.0,True,8.75,8.747
22,20260535,300.0,35.0,True,8.75,8.747
23,20260536,300.0,35.0,True,8.75,8.747
24,20260537,300.0,35.0,True,8.75,8.747
25,20260538,300.0,35.0,True,8.75,8.747
26,20260539,300.0,35.0,True,8.75,8.747
27,20260540,300.0,35.0,True,8.75,8.747
28,20260541,300.0,35.0,True,8.75,8.747
29,20260542,300.0,35.0,True,8.75,8.747
30,20260543,300.0,35.0,True,8.75,8.747
31,20260544,300.0,35.0,True,8.75,8.747
