iteration_id,arm_id,phase,start_s,end_s,duration_s,mean_tip_force_n,max_tip_force_n,force_time_integral_ns,safety_zone_violations,collision_state_violations,ring_tension_stability
0,1,1,0.0,6.0,6.0,0.507,0.889,1.233,0,0,0.0
0,1,2,6.0,16.0,10.0,0.544,0.883,1.094,0,0,0.0
0,1,3,16.0,24.0,8.0,0.533,0.832,1.036,0,0,0.0
0,1,4,24.0,32.0,8.0,0.519,0.802,1.348,0,0,0.0
0,1,5,32.0,42.0,10.0,0.52,0.81,1.396,0,0,0.0063
0,1,6,42.0,48.0,6.0,0.548,0.807,1.05,0,0,0.0076
0,1,7,48.0,54.0,6.0,0.515,0.895,1.271,0,0,0.0074
0,1,8,54.0,60.0,6.0,0.545,0.875,1.101,0,0,0.0
0,2,1,0.0,6.0,6.0,0.526,0.814,1.409,0,0,0.0
0,2,2,6.0,16.0,10.0,0.535,0.86,1.399,0,0,0.0
0,2,3,16.0,24.0,8.0,0.507,0.85,1.391,0,0,0.0
0,2,4,24.0,32.0,8.0,0.509,0.881,1.382,0,0,0.0
0,2,5,32.0,42.0,10.0,0.511,0.843,1.125,0,0,0.0052
0,2,6,42.0,48.0,6.0,0.51,0.852,1.278,0,0,0.0087
0,2,7,48.0,54.0,6.0,0.525,0.86,1.018,0,0,0.009
0,2,8,54.0,60.0,6.0,0.508,0.869,1.243,0,0,0.0
0,3,1,0.0,6.0,6.0,0.531,0.829,1.405,0,0,0.0
0,3,2,6.0,16.0,10.0,0.518,0.883,1.146,0,0,0.0
0,3,3,16.0,24.0,8.0,0.544,0.896,1.118,0,0,0.0
0,3,4,24.0,32.0,8.0,0.528,0.863,1.211,0,0,0.0
0,3,5,32.0,42.0,10.0,0.507,0.88,1.498,0,0,0.006
0,3,6,42.0,48.0,6.0,0.544,0.807,1.263,0,0,0.0096
0,3,7,48.0,54.0,6.0,0.514,0.824,1.355,0,0,0.0064
0,3,8,54.0,60.0,6.0,0.52,0.881,1.384,0,0,0.0
0,4,1,0.0,6.0,6.0,0.542,0.879,1.243,0,0,0.0
0,4,2,6.0,16.0,10.0,0.514,0.864,1.447,0,0,0.0
0,4,3,16.0,24.0,8.0,0.528,0.866,1.088,0,0,0.0
0,4,4,24.0,32.0,8.0,0.503,0.844,1.344,0,0,0.0
0,4,5,32.0,42.0,10.0,0.534,0.842,1.245,0,0,0.0093
0,4,6,42.0,48.0,6.0,0.5,0.896,1.488,0,0,0.0093
0,4,7,48.0,54.0,6.0,0.541,0.883,1.035,0,0,0.0081
0,4,8,54.0,60.0,6.0,0.516,0.838,1.169,0,0,0.0
0,5,1,0.0,6.0,6.0,0.508,0.849,1.203,0,0,0.0
0,5,2,6.0,16.0,10.0,0.545,0.838,1.218,0,0,0.0
0,5,3,16.0,24.0,8.0,0.531,0.881,1.039,0,0,0.0
0,5,4,24.0,32.0,8.0,0.505,0.855,1.241,0,0,0.0
0,5,5,32.0,42.0,10.0,0.515,0.887,1.061,0,0,0.0058
0,5,6,42.0,48.0,6.0,0.541,0.895,1.396,0,0,0.0062
0,5,7,48.0,54.0,6.0,0.522,0.821,1.337,0,0,0.0083
0,5,8,54.0,60.0,6.0,0.525,0.87,1.25,0,0,0.0
0,6,1,0.0,6.0,6.0,0.526,0.857,1.42,0,0,0.0
0,6,2,6.0,16.0,10.0,0.51,0.874,1.208,0,0,0.0
0,6,3,16.0,24.0,8.0,0.515,0.841,1.467,0,0,0.0
0,6,4,24.0,32.0,8.0,0.535,0.822,1.313,0,0,0.0
0,6,5,32.0,42.0,10.0,0.545,0.831,1.374,0,0,0.0082
0,6,6,42.0,48.0,6.0,0.502,0.817,1.057,0,0,0.0062
0,6,7,48.0,54.0,6.0,0.545,0.83,1.346,0,0,0.0096
0,6,8,54.0,60.0,6.0,0.525,0.851,1.008,0,0,0.0
0,7,1,0.0,6.0,6.0,0.502,0.898,1.185,0,0,0.0
0,7,2,6.0,16.0,10.0,0.54,0.845,1.007,0,0,0.0
0,7,3,16.0,24.0,8.0,0.525,0.896,1.373,0,0,0.0
0,7,4,24.0,32.0,8.0,0.514,0.885,1.369,0,0,0.0
0,7,5,32.0,42.0,10.0,0.542,0.843,1.204,0,0,0.0059
0,7,6,42.0,48.0,6.0,0.506,0.879,1.346,0,0,0.0053
0,7,7,48.0,54.0,6.0,0.506,0.86,1.034,0,0,0.0086
0,7,8,54.0,60.0,6.0,0.534,0.873,1.005,0,0,0.0
0,8,1,0.0,6.0,6.0,0.501,0.817,1.177,0,0,0.0
0,8,2,6.0,16.0,10.0,0.512,0.856,1.418,0,0,0.0
0,8,3,16.0,24.0,8.0,0.524,0.872,1.165,0,0,0.0
0,8,4,24.0,32.0,8.0,0.503,0.896,1.266,0,0,0.0
0,8,5,32.0,42.0,10.0,0.545,0.806,1.223,0,0,0.0063
0,8,6,42.0,48.0,6.0,0.516,0.823,1.234,0,0,0.0097
0,8,7,48.0,54.0,6.0,0.515,0.843,1.434,0,0,0.0071
0,8,8,54.0,60.0,6.0,0.522,0.873,1.358,0,0,0.0
