tick,phase,tip_x_mm,tip_y_mm,tip_z_mm,nearest_vessel,distance_mm,action,velocity_scale,force_soft_cap_n,e_stop
0,2,50.000,-45.000,-50.000,superior_mesenteric_vein,35.000,clear,1.0,3.0,False
1,2,49.650,-45.000,-50.000,superior_mesenteric_vein,34.650,clear,1.0,3.0,False
2,2,49.300,-45.000,-50.000,superior_mesenteric_vein,34.300,clear,1.0,3.0,False
3,2,48.950,-45.000,-50.000,superior_mesenteric_vein,33.950,clear,1.0,3.0,False
4,2,48.600,-45.000,-50.000,superior_mesenteric_vein,33.600,clear,1.0,3.0,False
5,2,48.250,-45.000,-50.000,superior_mesenteric_vein,33.250,clear,1.0,3.0,False
6,2,47.900,-45.000,-50.000,superior_mesenteric_vein,32.900,clear,1.0,3.0,False
7,2,47.550,-45.000,-50.000,superior_mesenteric_vein,32.550,clear,1.0,3.0,False
8,2,47.200,-45.000,-50.000,superior_mesenteric_vein,32.200,clear,1.0,3.0,False
9,2,46.850,-45.000,-50.000,superior_mesenteric_vein,31.850,clear,1.0,3.0,False
10,2,46.500,-45.000,-50.000,superior_mesenteric_vein,31.500,clear,1.0,3.0,False
11,2,46.150,-45.000,-50.000,superior_mesenteric_vein,31.150,clear,1.0,3.0,False
12,2,45.800,-45.000,-50.000,superior_mesenteric_vein,30.800,clear,1.0,3.0,False
13,2,45.450,-45.000,-50.000,superior_mesenteric_vein,30.450,clear,1.0,3.0,False
14,2,45.100,-45.000,-50.000,superior_mesenteric_vein,30.100,clear,1.0,3.0,False
15,2,44.750,-45.000,-50.000,superior_mesenteric_vein,29.750,clear,1.0,3.0,False
16,2,44.400,-45.000,-50.000,superior_mesenteric_vein,29.400,clear,1.0,3.0,False
17,2,44.050,-45.000,-50.000,superior_mesenteric_vein,29.050,clear,1.0,3.0,False
18,2,43.700,-45.000,-50.000,superior_mesenteric_vein,28.700,clear,1.0,3.0,False
19,2,43.350,-45.000,-50.000,superior_mesenteric_vein,28.350,clear,1.0,3.0,False
20,2,43.000,-45.000,-50.000,superior_mesenteric_vein,28.000,clear,1.0,3.0,False
21,2,42.650,-45.000,-50.000,superior_mesenteric_vein,27.650,clear,1.0,3.0,False
22,2,42.300,-45.000,-50.000,superior_mesenteric_vein,27.300,clear,1.0,3.0,False
23,2,41.950,-45.000,-50.000,superior_mesenteric_vein,26.950,clear,1.0,3.0,False
24,2,41.600,-45.000,-50.000,superior_mesenteric_vein,26.600,clear,1.0,3.0,False
25,2,41.250,-45.000,-50.000,superior_mesenteric_vein,26.250,clear,1.0,3.0,False
26,2,40.900,-45.000,-50.000,superior_mesenteric_vein,25.900,clear,1.0,3.0,False
27,2,40.550,-45.000,-50.000,superior_mesenteric_vein,25.550,clear,1.0,3.0,False
28,2,40.200,-45.000,-50.000,superior_mesenteric_vein,25.200,clear,1.0,3.0,False
29,2,39.850,-45.000,-50.000,superior_mesenteric_vein,24.850,clear,1.0,3.0,False
30,2,39.500,-45.000,-50.000,superior_mesenteric_vein,24.500,clear,1.0,3.0,False
31,2,39.150,-45.000,-50.000,superior_mesenteric_vein,24.150,clear,1.0,3.0,False
32,2,38.800,-45.000,-50.000,superior_mesenteric_vein,23.800,clear,1.0,3.0,False
33,2,38.450,-45.000,-50.000,superior_mesenteric_vein,23.450,clear,1.0,3.0,False
34,2,38.100,-45.000,-50.000,superior_mesenteric_vein,23.100,clear,1.0,3.0,False
35,2,37.750,-45.000,-50.000,superior_mesenteric_vein,22.750,clear,1.0,3.0,False
36,2,37.400,-45.000,-50.000,superior_mesenteric_vein,22.400,clear,1.0,3.0,False
37,2,37.050,-45.000,-50.000,superior_mesenteric_vein,22.050,clear,1.0,3.0,False
38,2,36.700,-45.000,-50.000,superior_mesenteric_vein,21.700,clear,1.0,3.0,False
39,2,36.350,-45.000,-50.000,superior_mesenteric_vein,21.350,clear,1.0,3.0,False
40,2,36.000,-45.000,-50.000,superior_mesenteric_vein,21.000,clear,1.0,3.0,False
41,2,35.650,-45.000,-50.000,superior_mesenteric_vein,20.650,clear,1.0,3.0,False
42,2,35.300,-45.000,-50.000,superior_mesenteric_vein,20.300,clear,1.0,3.0,False
43,2,34.950,-45.000,-50.000,superior_mesenteric_vein,19.950,clear,1.0,3.0,False
44,2,34.600,-45.000,-50.000,superior_mesenteric_vein,19.600,clear,1.0,3.0,False
45,2,34.250,-45.000,-50.000,superior_mesenteric_vein,19.250,clear,1.0,3.0,False
46,2,33.900,-45.000,-50.000,superior_mesenteric_vein,18.900,clear,1.0,3.0,False
47,2,33.550,-45.000,-50.000,superior_mesenteric_vein,18.550,clear,1.0,3.0,False
48,2,33.200,-45.000,-50.000,superior_mesenteric_vein,18.200,clear,1.0,3.0,False
49,2,32.850,-45.000,-50.000,superior_mesenteric_vein,17.850,clear,1.0,3.0,False
50,2,32.500,-45.000,-50.000,superior_mesenteric_vein,17.500,clear,1.0,3.0,False
51,2,32.150,-45.000,-50.000,superior_mesenteric_vein,17.150,clear,1.0,3.0,False
52,2,31.800,-45.000,-50.000,superior_mesenteric_vein,16.800,clear,1.0,3.0,False
53,2,31.450,-45.000,-50.000,superior_mesenteric_vein,16.450,clear,1.0,3.0,False
54,2,31.100,-45.000,-50.000,superior_mesenteric_vein,16.100,clear,1.0,3.0,False
55,2,30.750,-45.000,-50.000,superior_mesenteric_vein,15.750,clear,1.0,3.0,False
56,2,30.400,-45.000,-50.000,superior_mesenteric_vein,15.400,clear,1.0,3.0,False
57,2,30.050,-45.000,-50.000,superior_mesenteric_vein,15.050,clear,1.0,3.0,False
58,2,29.700,-45.000,-50.000,superior_mesenteric_vein,14.700,clear,1.0,3.0,False
59,2,29.350,-45.000,-50.000,superior_mesenteric_vein,14.350,clear,1.0,3.0,False
60,2,29.000,-45.000,-50.000,superior_mesenteric_vein,14.000,clear,1.0,3.0,False
61,2,28.650,-45.000,-50.000,superior_mesenteric_vein,13.650,clear,1.0,3.0,False
62,2,28.300,-45.000,-50.000,superior_mesenteric_vein,13.300,clear,1.0,3.0,False
63,2,27.950,-45.000,-50.000,superior_mesenteric_vein,12.950,clear,1.0,3.0,False
64,2,27.600,-45.000,-50.000,superior_mesenteric_vein,12.600,clear,1.0,3.0,False
