arm_id,phase,target_x_mm,target_y_mm,target_z_mm,active
1,1,0.0000,-9.9000,-20.0000,yes
1,2,15.0000,-24.9000,-45.0000,yes
1,3,-0.0000,-34.9000,-55.0000,yes
1,4,5.0000,-44.9000,-50.0000,yes
1,5,18.0000,-29.9000,-42.0000,yes
1,6,12.0000,-49.9000,-48.0000,yes
1,7,-8.0000,-39.9000,-30.0000,yes
1,8,-0.0000,-29.9000,-40.0000,yes
2,1,0.0000,-9.9000,-20.0000,yes
2,2,15.0951,-25.0309,-44.9595,yes
2,3,-0.0951,-34.9691,-54.9706,yes
2,4,5.0951,-44.9691,-50.0294,yes
2,5,17.9412,-30.0809,-42.0476,yes
2,6,12.0588,-49.9191,-47.9845,yes
2,7,-7.9412,-40.0809,-29.9524,yes
2,8,-0.0951,-30.0309,-39.9595,yes
3,1,0.0000,-9.9000,-20.0000,yes
3,2,14.9412,-25.0809,-44.9524,yes
3,3,-0.0588,-35.0809,-55.0476,yes
3,4,5.0588,-45.0809,-49.9524,yes
3,5,18.0951,-29.9691,-42.0294,yes
3,6,12.0951,-49.9691,-47.9706,yes
3,7,-8.0951,-39.9691,-29.9706,yes
3,8,0.0588,-30.0809,-40.0476,yes
4,1,0.0000,-9.9000,-20.0000,yes
4,2,14.9412,-24.9191,-44.9845,yes
4,3,0.0588,-35.0809,-54.9524,yes
4,4,4.9412,-45.0809,-50.0476,yes
4,5,17.9049,-29.9691,-41.9706,yes
4,6,12.0951,-50.0309,-47.9595,yes
4,7,-7.9049,-39.9691,-30.0294,yes
4,8,0.0588,-29.9191,-39.9845,yes
5,1,0.0000,-9.9000,-20.0000,no
5,2,15.0951,-24.9691,-45.0294,yes
5,3,0.0951,-34.9691,-55.0294,no
5,4,4.9049,-44.9691,-49.9706,yes
5,5,18.0588,-30.0809,-41.9524,yes
5,6,12.0588,-50.0809,-47.9524,yes
5,7,-8.0588,-40.0809,-30.0476,no
5,8,-0.0951,-29.9691,-39.9706,yes
6,1,0.0000,-9.9000,-20.0000,no
6,2,15.0000,-25.1000,-45.0500,yes
6,3,-0.0000,-34.9000,-55.0000,no
6,4,5.0000,-44.9000,-50.0000,yes
6,5,18.0000,-29.9000,-42.0000,no
6,6,12.0000,-50.1000,-47.9500,no
6,7,-8.0000,-39.9000,-30.0000,no
6,8,0.0000,-30.1000,-40.0500,yes
7,1,0.0000,-9.9000,-20.0000,no
7,2,14.9049,-24.9691,-45.0294,yes
7,3,-0.0951,-34.9691,-54.9706,no
7,4,5.0951,-44.9691,-50.0294,yes
7,5,17.9412,-30.0809,-42.0476,no
7,6,11.9412,-50.0809,-47.9524,no
7,7,-7.9412,-40.0809,-29.9524,no
7,8,0.0951,-29.9691,-39.9706,yes
8,1,0.0000,-9.9000,-20.0000,no
8,2,15.0588,-24.9191,-44.9845,yes
8,3,-0.0588,-35.0809,-55.0476,no
8,4,5.0588,-45.0809,-49.9524,yes
8,5,18.0951,-29.9691,-42.0294,no
8,6,11.9049,-50.0309,-47.9595,no
8,7,-8.0951,-39.9691,-29.9706,no
8,8,-0.0588,-29.9191,-39.9845,yes
